Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
The Nativity Story,Dec,1,2006,35,37.629831,46.309644
Turistas,Dec,1,2006,10,7.027762,14.32107
Black Christmas,Dec,5,2006,9,16.235738,16.235738
The Holiday,Dec,8,2006,85,63.28,205.190324
Blood Diamond,Dec,8,2006,100,57.377916,171.377916
Apocalypto,Dec,8,2006,40,50.866635,121.032272
Unaccompanied Minors,Dec,8,2006,25,16.655224,21.970831
The Pursuit of Happyness,Dec,15,2006,55,162.586036,307.325633
The Pursuit of Happyness,Dec,15,2006,55,162.586036,307.325633
Eragon,Dec,15,2006,100,75.030163,249.488115
Dreamgirls,Dec,15,2006,75,103.365956,155.708695
Charlotte's Web,Dec,15,2006,82.5,82.985708,143.985708
Indigènes,Dec,15,2006,18.9,0.3207,26.063572
The Good German,Dec,15,2006,32,1.308696,6.678033
Rocky Balboa,Dec,20,2006,24,70.269899,156.22905
Letters from Iwo Jima,Dec,20,2006,13,13.756082,67.867998
The Painted Veil,Dec,20,2006,19.4,8.060487,15.118795
Man cheng jin dai huang jin jia,Dec,21,2006,45,6.566773,76.904429
Venus,Dec,21,2006,6,3.347411,7.818479
Night at the Museum,Dec,22,2006,110,250.863268,579.446407
We Are Marshall,Dec,22,2006,65,43.545364,43.545364
Children of Men,Dec,25,2006,76,35.552383,69.845011
Notes on a Scandal,Dec,25,2006,27.5,17.510118,50.578411
Perfume: The Story of a Murderer,Dec,27,2006,63.7,2.223293,133.603463
El Laberinto del Fauno,Dec,29,2006,16,37.634615,87.041569
Miss Potter,Dec,29,2006,30,3.005605,35.891257
The Dead Girl,Dec,29,2006,3.3,0.019875,0.019875
Les Bronzés 3: amis pour la vie,Dec,31,2006,42,0,83.833602
Fengkuang de Shitou,Dec,31,2006,0.5,0,3
Loving Annabelle,Dec,31,2006,1,0,0.005382
When a Stranger Calls,Feb,3,2006,15,47.860214,67.215435
The Pink Panther,Feb,10,2006,80,82.226474,158.926474
Final Destination 3,Feb,10,2006,25,54.098051,112.798051
London,Feb,10,2006,2,0.012667,0.012667
Eight Below,Feb,17,2006,40,81.612565,120.455994
Date Movie,Feb,17,2006,20,48.548426,85.146165
Nochnoy dozor,Feb,17,2006,4.2,1.502188,33.913542
Winter Passing,Feb,17,2006,3.5,0.107492,0.113783
Madea's Family Reunion,Feb,24,2006,10,63.25794,63.320521
Doogal,Feb,24,2006,20,7.578946,28.058652
Tsotsi,Feb,24,2006,3,2.912606,11.537539
Running Scared,Feb,24,2006,17,6.855137,9.729088
Hostel,Jan,6,2006,4.8,47.326473,82.24111
Grandma’s Boy,Jan,6,2006,5,6.090172,6.590172
BloodRayne,Jan,6,2006,25,2.40542,3.60542
Fateless,Jan,6,2006,12,0.196857,0.196857
Hoodwinked,Jan,13,2006,17.5,51.386611,109.84339
Last Holiday,Jan,13,2006,45,38.399961,43.343247
Glory Road,Jan,13,2006,30,42.647449,42.79906
Underworld: Evolution,Jan,20,2006,45,62.318875,113.417762
Transamerica,Jan,20,2006,1,9.015303,16.553163
End of the Spear,Jan,20,2006,10,11.748661,11.924041
Big Momma's House 2,Jan,27,2006,40,70.165972,137.047376
Nanny McPhee,Jan,27,2006,25,47.279279,128.745578
Rang De Basanti,Jan,27,2006,5.3,2.197694,29.197694
Imagine Me & You,Jan,27,2006,7.9,0.672243,3.129471
Tristram Shandy: A Cock and Bull Story,Jan,27,2006,4.75,1.253413,3.061763
Manderlay,Jan,27,2006,14.2,0.074205,0.543306
Bubble,Jan,27,2006,1.6,0.145382,0.145382
Pirates of the Caribbean: Dead Man’s Chest,Jul,7,2006,225,423.315812,1066.215812
A Scanner Darkly,Jul,7,2006,20,5.501616,7.405084
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,Jul,7,2006,1,0.144601,0.215559
"You, Me and Dupree",Jul,14,2006,54,75.80201,130.40201
"You, Me and Dupree",Jul,14,2006,54,75.80201,130.40201
Little Man,Jul,14,2006,64,58.636047,101.636047
The Oh in Ohio,Jul,14,2006,5,0.418689,0.648183
Edmond,Jul,14,2006,10,0.131719,0.241719
Monster House,Jul,21,2006,75,73.66101,141.26737
Lady in the Water,Jul,21,2006,75,42.285169,72.785169
My Super Ex-Girlfriend,Jul,21,2006,30,22.530295,60.772856
Clerks II,Jul,21,2006,5,24.148068,27.342246
The Case of the Grinning Cat,Jul,21,2006,0.2,0.007033,0.007033
Little Miss Sunshine,Jul,26,2006,8,59.891098,100.642353
Miami Vice,Jul,28,2006,135,63.478838,163.818556
The Ant Bully,Jul,28,2006,45,28.142535,49.610898
Scoop,Jul,28,2006,4,10.525717,40.103262
Banlieue 13,Jun,2,2006,15,1.200216,11.599903
Peaceful Warrior,Jun,2,2006,10,2.893666,3.260179
The Puffy Chair,Jun,2,2006,0.015,0.194523,0.195254
The Omen,Jun,6,2006,25,54.607383,119.295584
Cars,Jun,9,2006,70,244.082982,461.651246
A Prairie Home Companion,Jun,9,2006,10,20.342852,26.716191
The Fast and the Furious: Tokyo Drift,Jun,16,2006,85,62.61551,157.794205
Garfield: A Tail of Two Kitties,Jun,16,2006,60,28.426747,147.985373
The Lake House,Jun,16,2006,40,52.330111,114.830111
Nacho Libre,Jun,16,2006,32,80.197993,99.296462
Wordplay,Jun,16,2006,0.5,3.12127,3.177636
Click,Jun,23,2006,82.5,137.355633,237.685089
Krrish,Jun,23,2006,10,1.430721,32.430721
Say Uncle,Jun,23,2006,2,0.005361,0.005361
Superman Returns,Jun,28,2006,232,200.12,374.085065
Strangers with Candy,Jun,28,2006,2,2.072645,2.077844
Who Killed the Electric Car?,Jun,28,2006,1,1.678874,1.849392
The Motel,Jun,28,2006,0.25,0.05154,0.05154
The Devil Wears Prada,Jun,30,2006,35,124.74046,326.073155
The Blood of My Brother: A Story of Death in Iraq,Jun,30,2006,0.12,0,0
16 Blocks,Mar,3,2006,45,36.895141,65.595141
Ultraviolet,Mar,3,2006,30,18.522064,30.962112
Joyeux Noël,Mar,3,2006,22,1.054361,23.134075
Aquamarine,Mar,3,2006,12,18.597342,22.978953
Dave Chappelle's Block Party,Mar,3,2006,3,11.718595,12.051924
The Shaggy Dog,Mar,10,2006,60,61.123569,87.123569
The Hills Have Eyes,Mar,10,2006,17,41.778863,70.355813
She's the Man,Mar,17,2006,25,33.889159,55.279608
Thank You For Smoking,Mar,17,2006,7.5,24.793509,40.016662
Find Me Guilty,Mar,17,2006,13,1.173673,2.898225
Sommersturm,Mar,17,2006,3,0.095204,0.095204
Stay Alive,Mar,24,2006,20,23.08648,23.187506
Larry the Cable Guy: Health Inspector,Mar,24,2006,17,15.680099,15.680099
Boynton Beach Club,Mar,24,2006,2.9,3.127472,3.127472
Lonesome Jim,Mar,24,2006,0.5,0.154187,0.602789
Ice Age: The Meltdown,Mar,31,2006,75,195.330621,651.899282
Basic Instinct 2,Mar,31,2006,70,5.946136,35.417162
ATL,Mar,31,2006,17,21.170563,21.170563
Slither,Mar,31,2006,15.25,7.80245,12.930343
Brick,Mar,31,2006,0.45,2.075743,4.243996
Marilyn Hotchkiss' Ballroom Dancing and Charm School,Mar,31,2006,2.5,0.349132,0.497195
Chinjeolhan geumjassi,May,4,2006,4.5,0.211667,23.471871
Mission: Impossible III,May,5,2006,150,133.501348,397.501348
Wu ji,May,5,2006,30,0.669625,35.869934
An American Haunting,May,5,2006,14,16.298046,30.443277
Hoot,May,5,2006,15,8.117637,8.224998
The Proposition,May,5,2006,20,1.903434,5.313608
Down in the Valley,May,5,2006,8,0.568932,0.973443
Poseidon,May,12,2006,160,60.674817,181.674817
Just My Luck,May,12,2006,28,17.32665,38.159905
Goal! The Dream Begins,May,12,2006,33,4.283255,27.610873
Keeping Up with the Steins,May,12,2006,5,4.339241,4.414753
Wah-Wah,May,12,2006,7,0.23475,0.463039
Dead Man's Shoes,May,12,2006,1.125,0.006408,0.414736
The Da Vinci Code,May,19,2006,125,217.536138,767.820459
Over the Hedge,May,19,2006,80,155.01934,343.397247
See No Evil,May,19,2006,8,15.0328,18.828036
An Inconvenient Truth,May,24,2006,1,24.146161,52.769915
X-Men: The Last Stand,May,26,2006,210,234.362462,459.260946
Cavite,May,26,2006,0.007,0.070071,0.071644
Borat,Nov,3,2006,18,128.505958,261.443242
Flushed Away,Nov,3,2006,149,64.665672,179.357126
Volver,Nov,3,2006,9.4,12.899867,87.226613
Unknown,Nov,3,2006,3.7,0.026403,3.355048
Stranger Than Fiction,Nov,10,2006,30,40.43519,53.572822
A Good Year,Nov,10,2006,35,7.4593,42.064105
Copying Beethoven,Nov,10,2006,11,0.355968,6.586324
Harsh Times,Nov,10,2006,2,3.337931,6.225304
FUR: An Imaginary Portrait of Diane Arbus,Nov,10,2006,16.8,0.223202,2.281089
Come Early Morning,Nov,10,2006,6,0.119452,0.119452
Casino Royale,Nov,17,2006,102,167.365,594.420283
Happy Feet,Nov,17,2006,85,198.000317,385.000317
Bobby,Nov,17,2006,14,11.242801,20.597806
For Your Consideration,Nov,17,2006,12,5.549923,5.549923
Let's Go to Prison,Nov,17,2006,4,4.630045,4.630045
The History Boys,Nov,21,2006,3.7,2.730296,13.447998
Déjà Vu,Nov,22,2006,80,64.038616,181.038616
The Fountain,Nov,22,2006,35,10.14401,15.461638
Opal Dream,Nov,22,2006,9,0.014443,0.014443
Kurtlar vadisi - Irak,Nov,24,2006,8.3,0,24.906717
Shortbus,Oct,4,2006,2,1.985292,1.985292
The Departed,Oct,6,2006,90,132.384315,289.660619
The Texas Chainsaw Massacre: The Beginning,Oct,6,2006,16,39.517763,50.517763
Employee of the Month,Oct,6,2006,10,28.444855,38.364855
Little Children,Oct,6,2006,14,5.463019,14.121177
Love's Abiding Joy,Oct,6,2006,3,0.252726,0.252726
The Grudge 2,Oct,13,2006,20,39.143839,70.743839
Man of the Year,Oct,13,2006,20,37.44218,41.34218
The Marine,Oct,13,2006,15,18.844784,22.165608
Alex Rider: Operation Stormbreaker,Oct,13,2006,40,0.65921,20.72245
One Night with the King,Oct,13,2006,20,13.395961,13.725032
Infamous,Oct,13,2006,13,1.15133,2.613717
Driving Lessons,Oct,13,2006,4.7,0.239962,0.239962
51 Birch Street,Oct,18,2006,0.35,0.084689,0.084689
The Prestige,Oct,20,2006,40,53.089891,104.407366
Marie Antoinette,Oct,20,2006,40,15.962471,60.862471
Flicka,Oct,20,2006,15,21.000147,21.896367
Running With Scissors,Oct,20,2006,12,6.86,8.706701
Saw III,Oct,27,2006,10,80.238724,163.876815
Babel,Oct,27,2006,20,34.302837,132.121212
Catch a Fire,Oct,27,2006,14,4.299773,5.782198
Crank,Sep,1,2006,12,27.838408,43.924923
Lage Raho Munna Bhai,Sep,1,2006,2.7,2.217561,31.517561
Crossover,Sep,1,2006,5.6,7.009668,7.009668
Idiocracy,Sep,1,2006,2.4,0.444093,0.500296
Mutual Appreciation,Sep,1,2006,0.03,0.103509,0.103509
Tom yum goong,Sep,8,2006,5.7,12.044087,43.044087
The Covenant,Sep,8,2006,20,23.364784,38.164784
Sherrybaby,Sep,8,2006,2,0.199176,0.759504
The Black Dahlia,Sep,15,2006,60,22.672813,49.238525
Gridiron Gang,Sep,15,2006,30,38.432823,41.457834
Artie Lange's Beer League,Sep,15,2006,2.8,0.475,0.475
Jackass: Number Two,Sep,22,2006,11,72.778712,85.278712
Bandidas,Sep,22,2006,35,0,19.28259
La science des rêves,Sep,22,2006,6,4.670644,15.137932
Flyboys,Sep,22,2006,60,13.09063,14.816379
All the King's Men,Sep,22,2006,55,7.221458,9.521458
All the King's Men,Sep,22,2006,55,7.221458,9.521458
Renaissance,Sep,22,2006,18,0.070644,2.401413
Feast,Sep,22,2006,3.2,0.056131,0.690872
The Last King of Scotland,Sep,27,2006,6,17.606684,49.155371
Open Season,Sep,29,2006,85,85.105259,191.932158
The Guardian,Sep,29,2006,70,55.011732,94.97354
School for Scoundrels,Sep,29,2006,20,17.807569,17.807569
Facing the Giants,Sep,29,2006,0.1,10.178331,10.243159
The Queen,Sep,30,2006,15,56.441711,128.885873
The Reaping,Apr,5,2007,40,25.126214,62.226214
Zwartboek,Apr,6,2007,22,4.398532,27.238354
The Hoax,Apr,6,2007,25,7.164995,7.164995
Disturbia,Apr,13,2007,20,80.818974,118.537627
Aqua Teen Hunger Force Colon Movie Film for Theaters,Apr,13,2007,0.75,5.520368,5.520368
Slow Burn,Apr,13,2007,15.5,1.237615,1.237615
Hot Fuzz,Apr,20,2007,16,23.618786,81.742618
In the Land of Women,Apr,20,2007,10.5,11.052958,14.140402
Ta Ra Rum Pum,Apr,27,2007,7.4,0.872643,9.443864
Jindabyne,Apr,27,2007,10.8,0.399879,2.862544
The Bourne Ultimatum,Aug,3,2007,130,227.47107,442.161562
Becoming Jane,Aug,3,2007,16.5,18.663911,39.380876
Hot Rod,Aug,3,2007,25,13.938332,14.334401
"Gandhi, My Father",Aug,3,2007,5,0.240425,1.375194
The Ten,Aug,3,2007,5.25,0.769726,0.786677
Daddy Day Camp,Aug,8,2007,6,13.235267,18.209872
Rush Hour 3,Aug,10,2007,180,140.125968,256.585882
Stardust,Aug,10,2007,70,38.634938,137.022245
Superbad,Aug,17,2007,17.5,121.463226,169.955142
Death at a Funeral,Aug,17,2007,20,8.580428,46.790428
The Invasion,Aug,17,2007,80,15.074191,40.147042
The Last Legion,Aug,17,2007,67,5.93206,25.357771
Mr. Bean’s Holiday,Aug,24,2007,25,33.302167,234.981342
War,Aug,24,2007,25,22.486409,40.686409
Resurrecting the Champ,Aug,24,2007,13,3.172382,3.260555
September Dawn,Aug,24,2007,10.1,1.066555,1.066555
Eye of the Dolphin,Aug,24,2007,2.5,0.07221,0.07226
Halloween,Aug,31,2007,15,58.269151,77.514401
Death Sentence,Aug,31,2007,20,9.534258,16.907831
Fong juk,Aug,31,2007,4.5,0.051957,0.051957
Juno,Dec,5,2007,7,143.495265,231.450102
The Golden Compass,Dec,7,2007,205,70.107728,367.262558
Atonement,Dec,7,2007,30,50.980159,129.779728
Timber Falls,Dec,7,2007,2.6,0,0.071248
I am Legend,Dec,14,2007,150,256.39301,585.532684
Alvin and the Chipmunks,Dec,14,2007,55,217.326974,362.605033
Alvin and the Chipmunks,Dec,14,2007,55,217.326974,362.605033
The Kite Runner,Dec,14,2007,20,15.800078,74.180745
Goodbye Bafana,Dec,14,2007,30,0,2.717302
Shotgun Stories,Dec,14,2007,0.25,0.046026,0.284174
P.S. I Love You,Dec,21,2007,30,53.695808,155.769678
Charlie Wilson's War,Dec,21,2007,75,66.661095,119.512771
Walk Hard: The Dewey Cox Story,Dec,21,2007,35,18.317151,20.606053
Blonde Ambition,Dec,21,2007,10,0.006422,1.537479
The Bucket List,Dec,25,2007,45,93.466502,174.807445
Aliens vs. Predator - Requiem,Dec,25,2007,40,41.797066,128.884494
The Water Horse: Legend of the Deep,Dec,25,2007,40,40.412817,103.429755
The Great Debaters,Dec,25,2007,15,30.226144,30.261293
Persepolis,Dec,25,2007,7.3,4.443403,25.39746
There Will Be Blood,Dec,26,2007,25,40.222514,77.208711
El orfanato,Dec,28,2007,4,7.159147,79.250193
Taxi 4,Dec,31,2007,17.5,0,60.865364
Alatriste,Dec,31,2007,28,0,22.860477
Arn - Tempelriddaren,Dec,31,2007,16.5,0,21.404122
Flood,Dec,31,2007,24,0,4.084232
Tin Can Man,Dec,31,2007,0.012,0,0
A Dog's Breakfast,Dec,31,2007,0.12,0,0
A Dog's Breakfast,Dec,31,2007,0.12,0,0
Because I Said So,Feb,2,2007,39,42.67404,69.538833
The Messengers,Feb,2,2007,16,35.374833,53.774833
Factory Girl,Feb,2,2007,7,1.661464,1.661464
Das Leben der Anderen,Feb,9,2007,2,11.284657,81.197047
Hannibal Rising,Feb,9,2007,50,27.669725,80.583311
The Last Sin Eater,Feb,9,2007,2.2,0.38839,0.38839
Music and Lyrics,Feb,14,2007,40,50.572589,146.196885
Ghost Rider,Feb,16,2007,120,115.802596,229.545589
Bridge to Terabithia,Feb,16,2007,25,82.234139,137.984788
The Number 23,Feb,23,2007,32,35.193167,77.593167
Reno 911!: Miami,Feb,23,2007,10,20.342161,21.851362
The Astronaut Farmer,Feb,23,2007,13,11.003643,11.141213
Freedom Writers,Jan,5,2007,21,36.605602,43.632609
Happily N'Ever After,Jan,5,2007,47,15.849032,37.923818
Code Name: The Cleaner,Jan,5,2007,20,8.135024,8.135024
Thr3e,Jan,5,2007,2.4,1.008849,1.420418
Arthur et les Minimoys,Jan,12,2007,80,15.132763,113.325743
Stomp the Yard,Jan,12,2007,14,61.356221,75.525718
Alone with Her,Jan,17,2007,1,0.010787,0.844377
Epic Movie,Jan,26,2007,20,39.739367,86.858578
Smokin' Aces,Jan,26,2007,17,35.662731,57.26344
Blood and Chocolate,Jan,26,2007,15,3.526588,6.55131
Transformers,Jul,2,2007,151,319.246193,708.272592
License to Wed,Jul,3,2007,35,43.799818,70.187088
Rescue Dawn,Jul,4,2007,10,5.490423,7.037886
Harry Potter and the Order of the Phoenix,Jul,11,2007,150,292.004738,942.943935
Cama adentro,Jul,18,2007,0.8,0.200433,0.200433
Hairspray,Jul,20,2007,75,118.871849,203.035572
I Now Pronounce You Chuck and Larry,Jul,20,2007,85,119.72528,185.708462
Sunshine,Jul,20,2007,40,3.68856,32.03061
This is England,Jul,25,2007,2.38,0.327919,8.739576
The Simpsons Movie,Jul,27,2007,72.5,183.135014,527.071022
No Reservations,Jul,27,2007,28,43.107979,91.943956
Who's Your Caddy?,Jul,27,2007,7,5.694308,5.694308
No End In Sight,Jul,27,2007,2,1.433319,1.433319
Molière,Jul,27,2007,21.6,0.635733,0.791154
Knocked Up,Jun,1,2007,27.5,148.761765,219.265952
Gracie,Jun,1,2007,9,2.956339,3.922043
And Then Came Love,Jun,1,2007,0.989,0.008158,0.008158
Ocean's Thirteen,Jun,8,2007,85,117.144465,311.744465
Surf's Up,Jun,8,2007,100,58.867694,145.395745
La Môme,Jun,8,2007,15.5,10.299782,88.611837
Hostel: Part II,Jun,8,2007,7.5,17.544812,33.606409
Fantastic Four: Rise of the Silver Surfer,Jun,15,2007,120,131.921738,289.480691
Nancy Drew,Jun,15,2007,20,25.584685,30.703845
DOA: Dead or Alive,Jun,15,2007,30,0.480314,7.755686
Fido,Jun,15,2007,8,0.29811,0.456814
Pierrot le fou,Jun,15,2007,0.3,0.070807,0.070807
The Trials of Darryl Hunt,Jun,15,2007,0.2,0.001217,0.001217
Evan Almighty,Jun,22,2007,175,100.28969,174.131329
1408,Jun,22,2007,22.5,71.985628,131.26337
Sicko,Jun,22,2007,9,24.538513,36.535837
A Mighty Heart,Jun,22,2007,15,9.176787,19.153568
You Kill Me,Jun,22,2007,4,2.426851,3.858964
Live Free or Die Hard,Jun,27,2007,110,134.529403,382.288147
Ratatouille,Jun,29,2007,150,206.445654,626.549695
Evening,Jun,29,2007,30,12.406646,12.885574
Chacun sa nuit,Jun,29,2007,1.9,0.018435,0.139317
Wild Hogs,Mar,2,2007,60,168.213584,253.555383
Zodiac,Mar,2,2007,85,33.080084,83.080084
Black Snake Moan,Mar,2,2007,15,9.39687,10.951153
300,Mar,9,2007,60,210.614939,454.161935
Gwoemul,Mar,9,2007,12,2.201923,92.618117
The Namesake,Mar,9,2007,8.5,13.610521,20.288774
The Ultimate Gift,Mar,9,2007,9,3.438735,3.438735
Premonition,Mar,16,2007,20,47.852604,81.461343
The Wind That Shakes the Barley,Mar,16,2007,8.3,1.829142,25.670174
Dead Silence,Mar,16,2007,20,16.57459,20.614661
I Think I Love My Wife,Mar,16,2007,14,12.559771,13.205411
Nomad,Mar,16,2007,40,0.079123,0.079123
TMNT,Mar,23,2007,35,54.149098,96.096018
Shooter,Mar,23,2007,60,47.003582,95.53856
The Hills Have Eyes II,Mar,23,2007,15,20.804166,37.466538
Reign Over Me,Mar,23,2007,20,19.661987,20.081987
Namastey London,Mar,23,2007,8.4,1.207007,6.831069
Journey from the Fall,Mar,23,2007,1.3,0.635305,0.635305
Blades of Glory,Mar,30,2007,61,118.594548,145.594548
Waitress,May,2,2007,1.5,19.09755,22.217183
Spider-Man 3,May,4,2007,258,336.530303,894.86023
Lucky You,May,4,2007,55,5.755286,6.521829
Lucky You,May,4,2007,55,5.755286,6.521829
"Paris, je t'aime",May,4,2007,13,4.857374,5.175088
28 Weeks Later,May,11,2007,15,28.638916,64.232714
Georgia Rule,May,11,2007,20,18.88288,20.819601
Brooklyn Rules,May,11,2007,8,0.458232,0.458232
The Salon,May,11,2007,1.5,0.139084,0.139084
Once,May,16,2007,0.15,9.445857,23.324057
Shrek the Third,May,17,2007,160,322.719944,807.330936
Severance,May,18,2007,10,0.137221,5.950002
The Wendell Baker Story,May,18,2007,8,0.127188,0.127188
Pirates of the Caribbean: At World’s End,May,24,2007,300,309.420425,963.420425
Bug,May,25,2007,4,7.006708,8.302995
Bee Movie,Nov,2,2007,150,126.631277,287.594577
American Gangster,Nov,2,2007,100,130.164645,267.985456
Martian Child,Nov,2,2007,27,7.50031,9.352089
No Country for Old Men,Nov,9,2007,25,74.273505,164.05125
Lions for Lambs,Nov,9,2007,35,14.99807,63.211088
Holly,Nov,9,2007,3,0.163069,0.163069
Southland Tales,Nov,14,2007,17,0.27538,0.364607
Beowulf,Nov,16,2007,150,82.280579,195.080579
Love in the Time of Cholera,Nov,16,2007,45,4.617608,31.077418
Redacted,Nov,16,2007,5,0.065388,0.861325
Enchanted,Nov,21,2007,85,127.706877,340.384141
Hitman,Nov,21,2007,17.5,39.687694,99.135571
August Rush,Nov,21,2007,25,31.664162,66.015869
The Mist,Nov,21,2007,13,25.593755,57.189408
This Christmas,Nov,21,2007,13,49.121934,49.733545
I’m Not There,Nov,21,2007,20,4.017609,12.397613
The Savages,Nov,28,2007,9,6.623082,10.642023
Awake,Nov,30,2007,8.6,14.373825,32.968648
Le Scaphandre et le Papillon,Nov,30,2007,14,5.990075,22.754472
Lake of Fire,Oct,3,2007,6,0.025317,0.026007
Michael Clayton,Oct,5,2007,21.5,49.033882,92.987651
Finishing the Game,Oct,5,2007,0.5,0.05285,0.053201
The Good Night,Oct,5,2007,15,0.022441,0.022441
Control,Oct,10,2007,6.4,0.871577,8.902141
Elizabeth: The Golden Age,Oct,12,2007,55,16.28524,74.870866
Elizabeth: The Golden Age,Oct,12,2007,55,16.28524,74.870866
Why Did I Get Married?,Oct,12,2007,15,55.204525,55.934178
We Own the Night,Oct,12,2007,28,28.563179,55.307857
Lars and the Real Girl,Oct,12,2007,12.5,5.95648,11.277119
30 Days of Night,Oct,19,2007,30,39.568996,80.276156
"Gone, Baby, Gone",Oct,19,2007,19,20.300218,34.352162
Rendition,Oct,19,2007,27.5,9.736045,26.939925
Things We Lost in the Fire,Oct,19,2007,16,3.287315,8.120148
The Ten Commandments,Oct,19,2007,10,0.95282,1.051907
Out of the Blue,Oct,19,2007,4.6,0.000728,0.731767
Wristcutters: A Love Story,Oct,19,2007,1,0.446165,0.473769
Arnolds Park,Oct,19,2007,0.6,0.023616,0.023616
The Man From Earth,Oct,19,2007,0.2,0,0
Saw IV,Oct,26,2007,10,63.300095,135.759694
Bella,Oct,26,2007,3.3,8.093373,12.405473
The Death and Life of Bobby Z,Sep,4,2007,8,0,0.414617
I Want Someone To Eat Cheese With,Sep,5,2007,1.5,0.194568,0.194568
3:10 to Yuma,Sep,7,2007,48,53.606916,71.171825
The Hunting Party,Sep,7,2007,40,0.876671,7.729552
Romance and Cigarettes,Sep,7,2007,11,0.551002,3.231251
In the Shadow of the Moon,Sep,7,2007,2,1.134358,2.175587
The Brothers Solomon,Sep,7,2007,10,0.900926,0.900926
Hatchet,Sep,7,2007,1.5,0.175281,0.240396
Dragon Wars: D-War,Sep,14,2007,32,10.977721,79.915361
Eastern Promises,Sep,14,2007,50,17.181265,56.077088
Across the Universe,Sep,14,2007,45,24.343673,29.367143
In the Valley of Elah,Sep,14,2007,23,6.777741,24.48915
King of California,Sep,14,2007,10,0.268461,1.165102
Ira and Abby,Sep,14,2007,3.5,0.221096,0.221096
Resident Evil: Extinction,Sep,21,2007,45,50.648679,146.16292
Good Luck Chuck,Sep,21,2007,25,35.017297,59.183821
Into the Wild,Sep,21,2007,20,18.354356,56.82296
The Assassination of Jesse James by the Coward Robert Ford,Sep,21,2007,30,3.909149,15.313631
Sydney White,Sep,21,2007,16.5,11.892415,13.636339
The Game Plan,Sep,28,2007,22,90.648202,146.590987
The Kingdom,Sep,28,2007,72.5,47.46725,86.509602
Se jie,Sep,28,2007,15,4.604982,65.261291
Trade,Sep,28,2007,12,0.214202,1.513388
Nim's Island,Apr,4,2008,37,48.006762,101.857425
Leatherheads,Apr,4,2008,58,31.373938,41.348628
Leatherheads,Apr,4,2008,58,31.373938,41.348628
The Ruins,Apr,4,2008,25,17.432844,22.910563
My Blueberry Nights,Apr,4,2008,10,0.866778,22.198996
Shine a Light,Apr,4,2008,1,5.505267,16.173879
Street Kings,Apr,11,2008,20,26.418667,65.457811
Prom Night,Apr,11,2008,18,43.86935,57.193655
The Visitor,Apr,11,2008,4,9.427026,19.174817
à L'Intérieur,Apr,15,2008,3,0,0.895932
The Forbidden Kingdom,Apr,18,2008,55,52.07527,129.07527
The Forbidden Kingdom,Apr,18,2008,55,52.07527,129.07527
Forgetting Sarah Marshall,Apr,18,2008,30,63.172463,105.173042
88 Minutes,Apr,18,2008,30,16.930884,32.955399
Life Before Her Eyes,Apr,18,2008,12,0.303439,7.203439
Pathology,Apr,18,2008,8,0.109045,3.270974
Kiss the Bride,Apr,18,2008,0.5,0.032033,0.032033
Baby Mama,Apr,25,2008,30,60.494212,64.170447
Harold & Kumar Escape from Guantanamo Bay,Apr,25,2008,12,38.108728,43.353117
Deception,Apr,25,2008,25,4.598506,12.850033
Rogue,Apr,25,2008,23,0.010452,4.673377
Standard Operating Procedure,Apr,25,2008,5,0.22883,0.33212
The Mummy: Tomb of the Dragon Emperor,Aug,1,2008,175,102.491776,405.760225
Swing Vote,Aug,1,2008,21,16.289867,17.589867
Frozen River,Aug,1,2008,1,2.511476,6.030129
Midnight Meat Train,Aug,1,2008,15,0.073548,1.590246
Pineapple Express,Aug,6,2008,26,87.34138,102.404019
The Sisterhood of the Traveling Pants 2,Aug,6,2008,27,44.089964,44.270131
Bottle Shock,Aug,6,2008,5,4.078607,4.81589
Tropic Thunder,Aug,13,2008,90,110.515313,191.145256
The Rise and Fall of Miss Thang,Aug,14,2008,0.01,0.000401,0.000401
Vicky Cristina Barcelona,Aug,15,2008,16,23.216709,104.504817
Mirrors,Aug,15,2008,35,30.691439,77.220596
Star Wars: The Clone Wars,Aug,15,2008,8.5,35.161554,68.695443
Fly Me To the Moon,Aug,15,2008,25,14.543943,43.530281
The Rocker,Aug,20,2008,15,6.409528,8.767338
Death Race,Aug,22,2008,65,36.316032,72.516819
The House Bunny,Aug,22,2008,25,48.237389,71.390601
The Longshots,Aug,22,2008,23,11.511323,11.778396
Hamlet 2,Aug,22,2008,9,4.886216,4.934104
Virgin Territory,Aug,26,2008,38,0,5.473041
Traitor,Aug,27,2008,22,23.530831,27.882226
Babylon A.D.,Aug,29,2008,45,22.532572,70.216497
Disaster Movie,Aug,29,2008,20,14.190901,36.720752
Obsluhoval jsem anglického krále,Aug,29,2008,4.9,0.617228,7.174984
College,Aug,29,2008,6,4.694491,6.176114
Frost/Nixon,Dec,5,2008,29,18.622031,28.452945
Punisher: War Zone,Dec,5,2008,35,8.050977,10.157534
Cadillac Records,Dec,5,2008,12,8.195551,8.942516
The Reader,Dec,10,2008,32.5,34.194407,112.964875
Wendy and Lucy,Dec,10,2008,0.3,0.865695,1.416046
Gran Torino,Dec,12,2008,25,148.095302,274.543085
The Day the Earth Stood Still,Dec,12,2008,80,79.366978,233.066978
Doubt,Dec,12,2008,20,33.44647,53.191101
