Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
American Anthem,Jun,27,1986,7,3.571624,3.571624
A Room with a View,Mar,7,1986,3,20.966644,20.966644
Highlander,Mar,7,1986,16,5.9,12.9
April Fool's Day,Mar,27,1986,5,12.947763,12.947763
Top Gun,May,16,1986,15,179.800601,356.800601
Cobra,May,23,1986,25,49.042224,49.042224
Star Trek IV: The Voyage Home,Nov,26,1986,24,109.713132,133
Playing for Keeps,Oct,3,1986,35,2,2
Peggy Sue Got Married,Oct,10,1986,18,41.382841,41.382841
The Color of Money,Oct,17,1986,10,52.293,52.293
Crocodile Dundee,Sep,26,1986,8.8,174.803506,328.203506
Down by Law,Sep,26,1986,1.1,1.436,1.436
Wall Street,Dec,11,1987,16.5,43.8481,43.8481
Good Morning Vietnam,Dec,23,1987,13,123.92237,123.92237
A Nightmare On Elm Street 3: Dream Warriors,Feb,27,1987,5,44.793222,44.793222
American Ninja 2: The Confrontation,Jan,1,1987,0.35,4,4
Maurice,Jan,1,1987,2.6,3.14795,3.14795
Radio Days,Jan,30,1987,16,14.792779,14.792779
RoboCop,Jul,17,1987,13,53.424681,53.424681
Jaws 4: The Revenge,Jul,17,1987,23,15.728335,15.728335
La Bamba,Jul,24,1987,6.5,54.215416,54.215416
Superman IV: The Quest for Peace,Jul,24,1987,17,11.227824,11.227824
The Living Daylights,Jul,31,1987,40,51.185,191.2
The Lost Boys,Jul,31,1987,8.5,32.222567,32.222567
The Untouchables,Jun,3,1987,25,76.270454,76.270454
Predator,Jun,12,1987,18,59.735548,98.267558
Spaceballs,Jun,24,1987,22.7,38.119483,38.119483
Hollywood Shuffle,Mar,1,1987,0.1,5.228617,5.228617
Lethal Weapon,Mar,6,1987,15,65.19235,120.19235
Evil Dead II,Mar,13,1987,3.5,5.923044,5.923044
The Barbarians,Mar,31,1987,4,0.8,0.8
Creepshow 2,May,1,1987,3.5,14,14
Malone,May,1,1987,10,3,3
River's Edge,May,8,1987,1.9,4.6,4.6
Ishtar,May,15,1987,40,14.375181,14.375181
Beverly Hills Cop II,May,20,1987,20,153.665036,276.665036
Cry Freedom,Nov,6,1987,29,5.899797,25.899797
The Running Man,Nov,13,1987,30,38.122,38.122
The Last Emperor,Nov,20,1987,25,43.984987,44.004975
Teen Wolf Too,Nov,20,1987,3,7.888,7.888
